Date,Selina,Sub Category,Capacity,Out of Order,Available Beds,Sold Beds,Room Revenue USD,Food and Beverage Revenue,Activities Revenue,Co-Working Revenue,Average Guest Review
12/1/2017,San Jose,Dorm,86,1,85,65,1170,341.64,179.01,79.56,8.755
12/1/2017,Medellin,Dorm,215,25,190,91,1820,373.1,274.82,72.8,8.787
12/1/2017,Jaco,Dorm,118,2,116,55,880,289.52,100.32,23.76,8.78
12/1/2017,Bocas del Toro,Dorm,154,2,152,108,1728,618.624,390.528,164.16,8.689
12/1/2017,Red Frog,Dorm,24,1,23,17,255,91.545,44.88,20.655,8.754
12/1/2017,Puerto Viejo,Private,32,1,31,16,571.2,191.9232,63.9744,24.5616,8.794
12/1/2017,Bocas del Toro,Private,44,1,43,32,1008,360.864,217.728,108.864,8.699
12/1/2017,Santa Teresa North,Dorm,140,1,139,97,1455,446.685,226.98,91.665,8.743
12/1/2017,Bocas del Toro,Private Shared,32,1,31,24,691.2,245.376,166.5792,82.2528,8.71
12/1/2017,Manuel Antonio,Dorm,116,3,113,81,1377,415.854,210.681,78.489,8.741
12/1/2017,Manuel Antonio,Private Shared,18,1,17,13,421.2,125.0964,60.6528,25.6932,8.743
12/1/2017,Tamarindo,Private Shared,34,1,33,19,581.4,190.6992,70.9308,22.6746,8.772
12/1/2017,Jaco,Private,42,2,40,19,598.5,202.8915,58.0545,15.561,8.771
12/1/2017,Antigua,Dorm,92,11,81,38,646,3.23,101.422,9.69,9.008
12/1/2017,Medellin,Private,88,9,79,38,1444,294.576,215.156,60.648,8.794
12/1/2017,Puerto Viejo,Private Shared,40,1,39,21,642.6,210.7728,66.1878,14.7798,8.771
12/1/2017,Manuel Antonio,Private,60,1,59,43,1535.1,489.6969,211.8438,105.9219,8.75
12/1/2017,Venao,Dorm,51,1,50,38,608,206.72,143.488,56.544,8.711
12/1/2017,San Jose,Private,40,1,39,31,1106.7,332.01,163.7916,63.0819,8.736
12/1/2017,La Fortuna,Dorm,100,6,94,35,595,207.655,58.31,21.42,8.783
12/1/2017,Tamarindo,Dorm,144,3,141,88,1584,497.376,212.256,45.936,8.774
12/1/2017,La Fortuna,Private,20,1,19,8,285.6,101.9592,31.416,8.568,8.785
12/1/2017,San Jose,Private Shared,14,1,13,11,316.8,92.1888,46.8864,17.1072,8.763
12/1/2017,Puerto Viejo,Dorm,66,2,64,34,544,174.08,53.312,27.2,8.774
12/1/2017,Red Frog,Private,34,1,33,25,787.5,268.5375,150.4125,57.4875,8.755
12/1/2017,Medellin,Private Shared,24,3,21,11,334.4,62.8672,56.848,14.3792,8.78
12/1/2017,Venao,Private Shared,34,1,33,25,675,222.75,155.925,76.275,8.689
12/1/2017,Pedasi,Dorm,8,1,7,6,96,33.024,22.656,9.792,8.719
12/1/2017,La Fortuna,Private Shared,32,2,30,13,351,116.532,29.484,9.477,8.787
12/1/2017,Antigua,Private,34,5,29,12,448.8,4.488,71.808,6.2832,9.01
